,Race_Type,Horse_Name,Trainer_name,Jockey_name,Weight,Draw,Win_odds,predicted finishing time,Place
56,ROBIN HANDICAP,THOU SHALL SING,K W Lui,C Y Ho,130.0,130.0,5.5,70.16700056886569,3
57,ROBIN HANDICAP,GOODMANSHIP,D J Whyte,C L Chau,117.0,117.0,51.0,70.2002049074604,4
58,ROBIN HANDICAP,COOLCELEB,T P Yung,Z Purton,126.0,126.0,6.599999904632568,70.46365905133933,5
59,ROBIN HANDICAP,HANDSOME REBEL,Y S Tsui,K C Leung,129.0,129.0,7.400000095367432,70.74054562548964,6
60,ROBIN HANDICAP,SEA MONARCH,W Y So,M L Yeung,120.0,120.0,72.0,70.75289298443317,7
61,ROBIN HANDICAP,THE BEST HERO,L Ho,M F Poon,115.0,115.0,13.0,70.75289298443317,8
62,ROBIN HANDICAP,GALLANT LEGACY,C W Chang,R Maia,118.0,118.0,9.399999618530273,70.92688231566298,9
63,ROBIN HANDICAP,MELBOURNE HALL,D J Hall,B Shinn,126.0,126.0,47.0,71.02928586121557,10
64,ROBIN HANDICAP,PICHU,K H Ting,T Piccone,121.0,121.0,147.0,71.49900786523727,11
65,TERN HANDICAP,DR PROACTIVE,K H Ting,J Moreira,130.0,130.0,7.900000095367432,69.2407723798339,1
66,TERN HANDICAP,LITTLE THUNDER,A T Millard,K Teetan,133.0,133.0,3.4000000953674316,69.67798929956035,2
67,TERN HANDICAP,RED MAJESTY,D A Hayes,B Shinn,126.0,126.0,28.0,69.71117599430475,3
68,TERN HANDICAP,THE ABRAXAS,Y S Tsui,M F Poon,123.0,123.0,6.199999809265137,69.96590854708923,4
69,TERN HANDICAP,SMART CHARADE,W Y So,Z Purton,132.0,132.0,6.199999809265137,70.11364995520192,5
70,TERN HANDICAP,KA YING BRILLIANCE,T P Yung,M Chadwick,117.0,117.0,37.0,70.32523926874998,6
71,TERN HANDICAP,WINNING STRIKES,P O'Sullivan,K C Leung,130.0,130.0,5.900000095367432,70.37193787508846,7
72,TERN HANDICAP,EVER STRONG,K L Man,K H Chan,113.0,113.0,12.0,70.38303780713512,8
73,TERN HANDICAP,ATHENA,C H Yip,C Schofield,132.0,132.0,41.0,70.4206847445658,9
74,TERN HANDICAP,FOR FUN'S SAKE,C Fownes,M L Yeung,117.0,117.0,27.0,70.4217866910514,10
75,TERN HANDICAP,FOX CHEUNGER,K W Lui,T Piccone,127.0,127.0,61.0,70.42513532205105,11
76,TERN HANDICAP,YEE CHEONG LUCKY,C S Shum,C Y Ho,127.0,127.0,12.0,70.51172956077895,12
77,CHAI WAN HANDICAP,SAVVY KINGMAN,F C Lor,M L Yeung,123.0,123.0,122.0,99.11806348342283,1
78,CHAI WAN HANDICAP,DONC JE SUIS,D A Hayes,B Shinn,124.0,124.0,13.0,99.27815084118365,2
79,CHAI WAN HANDICAP,CHEERFUL DAYS,K W Lui,Z Purton,130.0,130.0,2.200000047683716,100.09877092505806,3
80,CHAI WAN HANDICAP,SURE WIN WIN,T P Yung,A Badel,115.0,115.0,11.0,100.40855926062208,4
81,CHAI WAN HANDICAP,GOLD 'N' BOLD,W Y So,K Teetan,116.0,116.0,11.0,100.51145650354259,5
