Horse_ID,Horse_Name,Horse_Code,State,Country,Age,Color,Sex,Import_type,Total_Stakes,Owner,Last_Rating,Sire,Dam,Dam_sire
124,WALDORF,B253,Retired,NZ,,Black , Gelding,PP,"7,913,250",Peter Young Wai Po,100,Highly Recommended,Skite,Pins
125,MASSIVE POCKET,B246,Active,AUS,7,Bay , Gelding,PP,"5,237,550",Chan Kam Hung,,Stratum,Sprung,Grand Slam
126,TAKING AIM,B244,Active,AUS,6,Chestnut , Gelding,PP,"2,852,400",Edwin Cheung Hon Kit,,Choisir,Girl Hussler,Hussonet
127,TEAM SPIRIT,B230,Active,AUS,6,Chestnut , Gelding,PPG,"6,445,950","Pang Wai Hak, Pang Ka Yeung & Andy Pang Ka Wai",,Strategic,Forget Ima Lady,Lion Hunter
128,HONEST WAY,B200,Active,NZ,6,Bay , Gelding,PPG,"3,892,425",Mr & Mrs Robert Lau Siu Kit,,Per Incanto,Our Foil,Danzero
129,JUST NOT LISTENING,B192,Active,AUS,6,Chestnut , Gelding,PPG,"3,556,350",Lui Ming Ho,,Star Witness,High Aspirations,Exceed And Excel
130,GOLDEN DASH,B190,Active,AUS,6,Bay , Gelding,PPG,"5,692,700","Weber Lo Wai Pak, Chew Sein Mene & Henry Chan Tin Sang",,Snitzel,Aussie Christmas,Johannesburg
131,GOODLUCK GOODLUCK,B188,Active,AUS,6,Bay , Gelding,PPG,"1,585,640",Tsang Wai Hung & Sammy Ho Wai Yu,,Magic Albert,Luminous Harmony,Fastnet Rock
132,SHAMPORT,B167,Active,AUS,6,Bay , Gelding,PP,"4,175,070",Winnie Law Wing Yin,,Shamardal,Port Providence,Red Ransom
133,FLASH FAMOUS,B162,Active,AUS,6,Bay , Gelding,PP,"4,220,270",Prime Shop Syndicate,,Ilovethiscity,Ruparani,Red Ransom
134,ARDENODE,B145,Active,IRE,6,Bay , Gelding,PP,"693,500",Frankie Ng Wai Hang & Ng Wai Hung,,Hellvelyn,Coconut Kisses,Bahamian Bounty
135,UNIVERSAL GO GO,B132,Active,NZ,6,Bay , Gelding,PPG,"4,118,685",Alexander Wong,,Azamour,Love Blooms,Kaapstad
136,EASY GO EASY WIN,B112,Retired,NZ,,Bay , Gelding,PP,"4,088,350",Barry Lee Wing Tai,80,Savabeel,Tootsie,Pins
137,PERFECT TO PLAY,B095,Active,IRE,7,Chestnut , Gelding,PP,"2,977,285","Mr & Mrs Ringo Ng Yiu Kwok, Jasmine Ng Kwan Yin and Harry Ng Kwan Hang",,Born To Sea,Centreofattention,Danehill
138,SEVEN HEAVENS,B089,Active,GB,7,Bay , Gelding,PP,"3,244,550",Edmond Siu Kim Ping,,Frankel,Heaven Sent,Pivotal
139,UGLY WARRIOR,B083,Active,NZ,6,Chestnut , Gelding,PPG,"6,520,300",Just Fantastic Syndicate,,Swiss Ace,Ugly Betty,High Yield
140,NAMJONG PLUS,B048,Active,NZ,7,Bay , Gelding,PPG,"6,063,750",Claudia Sze Hill Tung,,Zacinto,Volkara,Volksraad
141,THOU SHALL SING,B047,Active,NZ,6,Bay , Gelding,PPG,"3,187,720",Eclat Syndicate,,Your Song,Shalt Not,St Covet
142,SPARKLING DRAGON,B033,Active,NZ,6,Bay , Gelding,PPG,"5,265,700",Kowloon Tong Club Syndicate,,O'Reilly,Shining Light,Star Way
143,AMAZING STAR,B019,Active,NZ,6,Bay , Gelding,PPG,"6,497,690",Grinders' Racing Club Syndicate,,Darci Brahma,Bright Abyss,Royal Academy
144,EXPLOSIVE WITNESS,B001,Active,AUS,6,Bay , Gelding,PP,"5,777,950",Connie Siu Kim Ying,,Star Witness,Rocket Baby,Danzero
145,GUNNISON,A377,Active,AUS,6,Chestnut , Gelding,PP,"7,817,925",Frank Feng Ching Yeng,,Not A Single Doubt,Colorado Claire,Hussonet
146,NOBLE STEED,A326,Active,AUS,7,Bay , Gelding,ISG,"5,390,000","Choi Wong Ling Ling, Choi Kam Shan & Choi Yun Chor",,Street Cry,Extension Of Time,Dash For Cash
147,VERY SWEET ORANGE,A300,Active,AUS,6,Chestnut , Gelding,PPG,"3,953,324",King Syndicate,,Exceed And Excel,Dubai Me Diamonds,Dubawi
148,FAITHFUL TRINITY,A247,Active,GER,7,Bay , Gelding,PP,"3,505,395",Lai Wai Chi,,Wiener Walzer,Saaleland,Lando
149,HAR HAR HEART,A224,Active,AUS,7,Bay , Gelding,PPG,"4,948,870",Mr & Mrs Arthur Chan Kwan Hung,,Myboycharlie,Dangerous Dancer,Danehill Dancer
150,ALL BEST FRIENDS,A217,Active,AUS,7,Bay , Gelding,PP,"2,893,955",Chan Kwok Keung,,Street Cry,Ambitious Lady,Anabaa
151,ELECTRIC LIGHTNING,A189,Retired,AUS,,Bay , Gelding,PPG,"3,298,580","Samson Yip Yan Tion, Dumas Chow Wai Sang & Eric Tong Man Leung",44,Not A Single Doubt,Plain Crazy,Bite The Bullet
152,RULE THEE,A172,Retired,NZ,,Bay , Gelding,PP,"3,520,620",Noble Wife Syndicate,47,Tavistock,Dantessa,Danasinga
153,RIGHT HONOURABLE,A164,Active,IRE,7,Bay , Gelding,PP,"3,026,285",Yan Ming,,Famous Name,Agnetha,Big Shuffle
154,MEGA HEART,A148,Active,AUS,8,Bay , Gelding,PP,"5,251,200",Mok Kam Hung & Michael Mok Kwan Yuen,,Foreplay,The Baroness,Viscount
155,PRETTY BAUHINIA,A135,Retired,AUS,,Brown , Gelding,PP,"4,189,760",Mr & Mrs Ma Leung,42,Danzero,Li'l Miss Hayley,Savabeel
156,BULLISH GLORY,A118,Active,IRE,8,Chestnut , Gelding,PP,"2,826,745",Wong Wing Keung,,Roderic O'Connor,Biz Bar,Tobougg
157,RED ELYSEES,A005,Active,GB,8,Chestnut , Gelding,PPG,"5,265,075",Mr & Mrs Dannis Lee Cheuk Yin,,Champs Elysees,Red Boots,Verglas
158,TOP SCORE,V357,Active,AUS,8,Bay , Gelding,PP,"4,445,855",Francis Lui Sing Chuen,,High Chaparral,Sarasota,Danehill
159,AMBITIOUS HEART,V303,Active,AUS,7,Bay , Gelding,PPG,"5,311,950",Good Time Syndicate,,Captain Sonador,Pyramisa's Lass,Not A Single Doubt
160,THUNDER STOMP,V279,Active,AUS,8,Bay , Gelding,PP,"6,515,996",Pui Kwan Kay & Raymond Chu Yuet Chung,,Fastnet Rock,Queen Of Troy,Storm Cat
161,TRAVEL DATUK,V235,Active,IRE,8,Bay , Gelding,PP,"3,700,578",Jackie Wong See Sum,,Holy Roman Emperor,Sharapova,Elusive Quality
